time[sec],yaw,pitch,roll,x,y,z,acc_x,acc_y,acc_z,omega_x,omega_y,omega_z
0.43,0.0,0.0,0.0,-0.5597532376989128,0.0,0.0,0.5259742441830028,0.0,0.0,0.0,0.0,0.0
0.435,0.0,0.0,0.0,0.047632829064581356,0.0,0.0,0.5084036668195038,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,-0.010278192801118281,0.0,0.0,0.5011106543405008,0.0,0.0,0.0,0.0,0.0
0.445,0.0,0.0,0.0,-0.299822915949703,0.0,0.0,0.4941195692769239,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.3206932059775022,0.0,0.0,0.5033056705728912,0.0,0.0,0.0,0.0,0.0
0.455,0.0,0.0,0.0,-0.09546063289735762,0.0,0.0,0.5090163382603194,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.12574176376158655,0.0,0.0,0.4967365591937745,0.0,0.0,0.0,0.0,0.0
0.465,0.0,0.0,0.0,0.27366521650564946,0.0,0.0,0.5017536363163724,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0,0.15746646401283573,0.0,0.0,0.48218848810414405,0.0,0.0,0.0,0.0,0.0
0.47500000000000003,0.0,0.0,0.0,0.14939166609375928,0.0,0.0,0.4986073129587735,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.7113680638252852,0.0,0.0,0.5079747297302994,0.0,0.0,0.0,0.0,0.0
0.485,0.0,0.0,0.0,0.19094848859948965,0.0,0.0,0.5018499280007122,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,-0.10368513878691517,0.0,0.0,0.5123026353059441,0.0,0.0,0.0,0.0,0.0
0.495,0.0,0.0,0.0,0.22103504513536562,0.0,0.0,0.4961176976901655,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.05099042073005098,0.0,0.0,0.49548563530854,0.0,0.0,0.0,0.0,0.0
0.505,0.0,0.0,0.0,0.1163960286928121,0.0,0.0,0.501622725819735,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.12795943940217214,0.0,0.0,0.49365885396996434,0.0,0.0,0.0,0.0,0.0
0.515,0.0,0.0,0.0,0.04916677568407231,0.0,0.0,0.5054000420332322,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.2909946897792456,0.0,0.0,0.5013672849854509,0.0,0.0,0.0,0.0,0.0
0.525,0.0,0.0,0.0,-0.3157231810951769,0.0,0.0,0.4812635762079858,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.5442284519519699,0.0,0.0,0.48538565477651724,0.0,0.0,0.0,0.0,0.0
0.535,0.0,0.0,0.0,0.1476966613424497,0.0,0.0,0.4953842476111757,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,-0.009711789633376051,0.0,0.0,0.5007835441653364,0.0,0.0,0.0,0.0,0.0
0.545,0.0,0.0,0.0,0.23664926966149874,0.0,0.0,0.4918863587152972,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.05142768890926505,0.0,0.0,0.5005127006696279,0.0,0.0,0.0,0.0,0.0
0.555,0.0,0.0,0.0,0.5603045660862043,0.0,0.0,0.48902833176403826,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.159776820809498,0.0,0.0,0.49462018932303575,0.0,0.0,0.0,0.0,0.0
0.5650000000000001,0.0,0.0,0.0,0.09209607770925109,0.0,0.0,0.5066617381130057,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.3134967433220085,0.0,0.0,0.5024472121966523,0.0,0.0,0.0,0.0,0.0
0.5750000000000001,0.0,0.0,0.0,-0.7744101540062762,0.0,0.0,0.4893740871033944,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.2586435872135554,0.0,0.0,0.5081085160745272,0.0,0.0,0.0,0.0,0.0
0.585,0.0,0.0,0.0,-0.1590325909983812,0.0,0.0,0.49918884286150406,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.41335337298154345,0.0,0.0,0.4900416503159122,0.0,0.0,0.0,0.0,0.0
0.595,0.0,0.0,0.0,0.1862668907107438,0.0,0.0,0.49410309876848785,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,-0.005685624479522117,0.0,0.0,0.5048783011846445,0.0,0.0,0.0,0.0,0.0
0.605,0.0,0.0,0.0,-0.13589277991720022,0.0,0.0,0.5290718875075983,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.6116213325646924,0.0,0.0,0.4861107526886912,0.0,0.0,0.0,0.0,0.0
0.615,0.0,0.0,0.0,0.723552397109298,0.0,0.0,0.5150344928738193,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.15430337178668674,0.0,0.0,0.4848905469580773,0.0,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.10383527367100627,0.0,0.0,0.4910958757264186,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.12375824206155864,0.0,0.0,0.5026160430950432,0.0,0.0,0.0,0.0,0.0
0.635,0.0,0.0,0.0,0.37055791762473317,0.0,0.0,0.5050577288843083,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,-0.2689442200389276,0.0,0.0,0.501976823642175,0.0,0.0,0.0,0.0,0.0
0.645,0.0,0.0,0.0,-0.5789929074357867,0.0,0.0,0.4990500288968644,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.7717911088659829,0.0,0.0,0.5073429980835038,0.0,0.0,0.0,0.0,0.0
0.655,0.0,0.0,0.0,0.3106997881411597,0.0,0.0,0.4892558187770875,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,-0.2941190900931749,0.0,0.0,0.4951727291217479,0.0,0.0,0.0,0.0,0.0
0.665,0.0,0.0,0.0,0.5214747555994271,0.0,0.0,0.49599431117336507,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,-0.44728613762135033,0.0,0.0,0.4975762220805738,0.0,0.0,0.0,0.0,0.0
0.675,0.0,0.0,0.0,0.3353572362875054,0.0,0.0,0.5040495822086446,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,-0.18187229454917533,0.0,0.0,0.5229518040462053,0.0,0.0,0.0,0.0,0.0
0.685,0.0,0.0,0.0,-0.26787728661828825,0.0,0.0,0.48718493039289,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0,0.2945006994248477,0.0,0.0,0.49159099608778356,0.0,0.0,0.0,0.0,0.0
0.6950000000000001,0.0,0.0,0.0,-0.06463120965808172,0.0,0.0,0.4930696895702711,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,-0.052483942896481686,0.0,0.0,0.5154676333000203,0.0,0.0,0.0,0.0,0.0
0.705,0.0,0.0,0.0,0.6713431343487506,0.0,0.0,0.5042454302099949,0.0,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.0,0.15311001311302364,0.0,0.0,0.4926658974864419,0.0,0.0,0.0,0.0,0.0
0.715,0.0,0.0,0.0,0.7921178681155056,0.0,0.0,0.5255530658202531,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.7253687588681381,0.0,0.0,0.4974643532724898,0.0,0.0,0.0,0.0,0.0
0.725,0.0,0.0,0.0,0.18224495570656027,0.0,0.0,0.4975452285541494,0.0,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,-0.14996474424976586,0.0,0.0,0.5021579544388687,0.0,0.0,0.0,0.0,0.0
0.735,0.0,0.0,0.0,0.28116749867518587,0.0,0.0,0.49418097935598565,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,-0.1286480288171999,0.0,0.0,0.4951910907893401,0.0,0.0,0.0,0.0,0.0
0.745,0.0,0.0,0.0,0.11147454879998012,0.0,0.0,0.49015438683164086,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.44892144471291673,0.0,0.0,0.5065020981702423,0.0,0.0,0.0,0.0,0.0
0.755,0.0,0.0,0.0,-0.22385926936032752,0.0,0.0,0.5043326053921918,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.5679510184309159,0.0,0.0,0.5185927883258443,0.0,0.0,0.0,0.0,0.0
0.765,0.0,0.0,0.0,0.28394180323238477,0.0,0.0,0.5045111719318323,0.0,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.13362069147976993,0.0,0.0,0.4993328302498138,0.0,0.0,0.0,0.0,0.0
0.775,0.0,0.0,0.0,-0.212476592614543,0.0,0.0,0.5097184546754101,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.6998240607063757,0.0,0.0,0.4926740822938432,0.0,0.0,0.0,0.0,0.0
0.785,0.0,0.0,0.0,0.36352488266031996,0.0,0.0,0.4894841441165402,0.0,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.1252158363388848,0.0,0.0,0.48916632754467226,0.0,0.0,0.0,0.0,0.0
0.795,0.0,0.0,0.0,0.5967580371646524,0.0,0.0,0.508629789190414,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,-0.06902849651069508,0.0,0.0,0.5018958109078543,0.0,0.0,0.0,0.0,0.0
0.805,0.0,0.0,0.0,-0.15449328699071563,0.0,0.0,0.4873666498011377,0.0,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.48577714055123383,0.0,0.0,0.49668649011089966,0.0,0.0,0.0,0.0,0.0
0.8150000000000001,0.0,0.0,0.0,0.2968008142801372,0.0,0.0,0.5046849897240838,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,-0.022713220342010922,0.0,0.0,0.4992452089282956,0.0,0.0,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0,0.45613942533232404,0.0,0.0,0.5080706713320323,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0,-0.029199884285170685,0.0,0.0,0.4990451823508414,0.0,0.0,0.0,0.0,0.0
0.835,0.0,0.0,0.0,0.3108726770086013,0.0,0.0,0.5001440434058986,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.011846750586343519,0.0,0.0,0.5154903545405083,0.0,0.0,0.0,0.0,0.0
0.845,0.0,0.0,0.0,0.16554741322347763,0.0,0.0,0.49896143257773673,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.11517013822560071,0.0,0.0,0.5023481855974723,0.0,0.0,0.0,0.0,0.0
0.855,0.0,0.0,0.0,0.22882402419152253,0.0,0.0,0.5158226224036553,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.47681522662971104,0.0,0.0,0.49867863413858393,0.0,0.0,0.0,0.0,0.0
0.865,0.0,0.0,0.0,0.49459097783667866,0.0,0.0,0.49184881257312874,0.0,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.44221418157373305,0.0,0.0,0.49004392091906834,0.0,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.45599429213335824,0.0,0.0,0.500653062509623,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.4264430309341595,0.0,0.0,0.5071509720917996,0.0,0.0,0.0,0.0,0.0
0.885,0.0,0.0,0.0,0.14299001070292391,0.0,0.0,0.49205964580855877,0.0,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.7175301316866014,0.0,0.0,0.4847623330732269,0.0,0.0,0.0,0.0,0.0
0.895,0.0,0.0,0.0,0.6218927548605638,0.0,0.0,0.525226887425463,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,-0.1533155891692561,0.0,0.0,0.4852772727048917,0.0,0.0,0.0,0.0,0.0
0.905,0.0,0.0,0.0,-0.08685257485425962,0.0,0.0,0.48753085271211455,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.26475882139999174,0.0,0.0,0.4902419774467882,0.0,0.0,0.0,0.0,0.0
0.915,0.0,0.0,0.0,0.6310934366229066,0.0,0.0,0.48378320318036644,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.5786769076947696,0.0,0.0,0.5011159811430832,0.0,0.0,0.0,0.0,0.0
0.925,0.0,0.0,0.0,-0.023843363289136166,0.0,0.0,0.5020023571694082,0.0,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.1829778599970107,0.0,0.0,0.5028816208248669,0.0,0.0,0.0,0.0,0.0
0.935,0.0,0.0,0.0,-0.08010008094984761,0.0,0.0,0.4984864583443356,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.5642265875940761,0.0,0.0,0.5121933468035486,0.0,0.0,0.0,0.0,0.0
0.9450000000000001,0.0,0.0,0.0,0.15762789787563136,0.0,0.0,0.5163295852265077,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,-0.20727105534190973,0.0,0.0,0.5254537312427975,0.0,0.0,0.0,0.0,0.0
0.9550000000000001,0.0,0.0,0.0,0.1344203707015208,0.0,0.0,0.5010158900582027,0.0,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.2998433656870685,0.0,0.0,0.4998855277515612,0.0,0.0,0.0,0.0,0.0
0.965,0.0,0.0,0.0,0.6635342499486493,0.0,0.0,0.48131878009260004,0.0,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.49180277244144893,0.0,0.0,0.5041465441252734,0.0,0.0,0.0,0.0,0.0
0.975,0.0,0.0,0.0,0.43836889684674407,0.0,0.0,0.46979055147595183,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.6760795145055015,0.0,0.0,0.5021069388554127,0.0,0.0,0.0,0.0,0.0
0.985,0.0,0.0,0.0,1.0003752576920557,0.0,0.0,0.5032287578801404,0.0,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.47196314121827454,0.0,0.0,0.4988557427405416,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.0,0.0,0.31699523691374193,0.0,0.0,0.4945185997188341,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.4710725899942658,0.0,0.0,0.5062691229399222,0.0,0.0,0.0,0.0,0.0
1.0050000000000001,0.0,0.0,0.0,0.26570287205520415,0.0,0.0,0.4896655108792652,0.0,0.0,0.0,0.0,0.0
1.01,0.0,0.0,0.0,0.20421888107769592,0.0,0.0,0.5014862813411048,0.0,0.0,0.0,0.0,0.0
1.0150000000000001,0.0,0.0,0.0,0.260113694802692,0.0,0.0,0.48734484124032085,0.0,0.0,0.0,0.0,0.0
1.02,0.0,0.0,0.0,0.01240610619617855,0.0,0.0,0.5017801501295519,0.0,0.0,0.0,0.0,0.0
1.025,0.0,0.0,0.0,-0.07737235202582543,0.0,0.0,0.5002862335873767,0.0,0.0,0.0,0.0,0.0
1.03,0.0,0.0,0.0,-0.07744397740959265,0.0,0.0,0.4915587167050169,0.0,0.0,0.0,0.0,0.0
1.035,0.0,0.0,0.0,0.3528976140928997,0.0,0.0,0.5108467166180324,0.0,0.0,0.0,0.0,0.0
1.04,0.0,0.0,0.0,0.4405988819878579,0.0,0.0,0.5022832802995236,0.0,0.0,0.0,0.0,0.0
1.045,0.0,0.0,0.0,0.2716301177029328,0.0,0.0,0.5175192492514474,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.26207221559432536,0.0,0.0,0.5106860196187675,0.0,0.0,0.0,0.0,0.0
1.055,0.0,0.0,0.0,0.38303487291943306,0.0,0.0,0.49074595424197526,0.0,0.0,0.0,0.0,0.0
1.06,0.0,0.0,0.0,-0.15113978363253433,0.0,0.0,0.47796671985377037,0.0,0.0,0.0,0.0,0.0
1.065,0.0,0.0,0.0,0.44379868981329773,0.0,0.0,0.5049767665423922,0.0,0.0,0.0,0.0,0.0
1.07,0.0,0.0,0.0,0.7401911746652937,0.0,0.0,0.48344757061292165,0.0,0.0,0.0,0.0,0.0
1.075,0.0,0.0,0.0,0.4264231632612129,0.0,0.0,0.48973524100640436,0.0,0.0,0.0,0.0,0.0
1.08,0.0,0.0,0.0,0.40873658487172987,0.0,0.0,0.5043501335681612,0.0,0.0,0.0,0.0,0.0
1.085,0.0,0.0,0.0,0.20007114345228377,0.0,0.0,0.508293524391533,0.0,0.0,0.0,0.0,0.0
1.09,0.0,0.0,0.0,0.6035137526417444,0.0,0.0,0.5139633431503794,0.0,0.0,0.0,0.0,0.0
1.095,0.0,0.0,0.0,0.4569236032635893,0.0,0.0,0.5010746096336831,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.27922894490964006,0.0,0.0,0.4897415626339215,0.0,0.0,0.0,0.0,0.0
